product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
"Suntory Japanese Whisky Tasting Set
6x3cl";None;None;['49.95'];['27.75'];None;A Perfect Measure tasting set exploring the world of Suntory Japanese whisky. This set includes a 3cl sample bottle of each of the following: Suntory Hakushu 12 Year Old, Suntory Hakushu Distiller's Reserve, Suntory Yamazaki Distiller's Reserve, Hibiki Harmony, Suntory Chita Whisky and Suntory Toki.
"Premium Speyside Whisky Tasting Set
6x3cl";None;None;['69.95'];['38.86'];None;Explore the world of Speyside whiskies with this Perfect Measure tasting set. From Balvenie to Glenfarclas, Speyside is home to many distilleries, each with its own unique styles and flavours. This set includes a 3cl sample bottle of each of the following: Glen Grant 18 Year Old Rare Edition, Balvenie 17 Year Old Double Wood, Benriach 21 Year Old Classic, Macallan Estate, Glenfarclas 25 Year Old and Mortlach 16 Year Old.
Stauning KAOS Whisky;None;None;['60.95'];['121.90'];None;"A versatile Danish grain whisky from Stauning that takes its name from the slogan of Denmark's first social-democratic Prime Minister, Thorvald Stauning, ""Stauning Eller Kaos"" – meaning ""Stauning or Chaos"". A combination of rye and malt whiskies, Kaos offers aromas of milk chocolate, cinnamon, caramel, bonfires and sweet cereals on the nose, complemented by notes of liquorice, baked apples, orange, vanilla and tobacco throughout the palate."
"Dubliner Irish Whisky
Bourbon Cask";4;['7'];['22.45'];['32.07'];None;The Dubliner's blended whiskey is aged exclusively in bourbon casks. Mellow and rounded with notes of honey and a hint of pepper, this is a great introduction to Irish whiskey.
Bulleit Bourbon Whiskey;None;['33'];['29.95'];['42.79'];None;"Packaged in an old-style bottle, Bulleit whiskey has developed a loyal following in the UK. The high rye content (around 30%) gives this bourbon a spicy kick.

Tasting Notes (1)"
Signal Hill Whisky;None;['7'];['32.25'];['46.07'];None;While Canadian whisky is often a showcase of different grains, Signal Hill focuses instead on casks. The distillery takes corn and malt spirit and ages them in three types of cask – ex-bourbon, ex-Canadian whisky and new oak. The three casks bring out different aspects of the whisky's character – vanilla and toffee notes, sweet grain and oaky spice respectively – creating a flavoursome and well-balanced whisky.
Koval Rye Whiskey;None;None;['45.95'];['91.90'];None;A 100% rye whisky from Koval, Chicago's first distillery since Prohibition. Producing using locally sourced grain, this is aged in new Minnesotan oak and bottled from a single barrel.
Fireball Cinnamon Whisky Liqueur;None;['115'];['19.95'];['28.50'];None;"Fireball is made with Canadian whisky and natural cinnamon flavours. It's certainly very cinnamony, and it's not too sweet, which is a plus. A very popular shot drink on the other side of the pond, Fireball was awarded 87 points from the Beverage Testing Institute, and a Silver Medal from the International Review of Spirits.

Tasting Notes (1)"
Gelston's Blended Whiskey;None;['1'];['21.25'];['30.36'];None;A blended Irish whiskey from Gelston's, made with a blend of locally sourced Irish malted barley and grain whiskey that is matured in ex-bourbon casks.
Muteman Rye Whiskey;4;['1'];['44.75'];['89.50'];None;A Finnish rye whisky from Muteman, made with a combination of malted rye and malted barley and matured in hand-selected casks, it has been finished in ex-sherry casks before being bottled.
War Eagle Whiskey;4;['1'];['32.25'];[];None;War Eagle is a fruity bourbon from Kentucky. With notes of vanilla, peach and wood spice, this is suited to cocktails.
Tincup American Whiskey;None;['84'];['31.95'];['45.64'];None;"Tincup American Whiskey is the brainchild of Colorado-based Jess Graber. A distiller as a hobby for 30 years, he turned full-time in 2004. A high rye whiskey, made with a bourbon-style profile but more powerful and spicier, the cap also works as a cup.

Tasting Notes (1)"
"Jameson Irish Whiskey
Bar Bottle";None;None;['46.95'];['31.30'];None;A 1.5 litre bottle of the massively popular Jameson Irish Whiskey. The label is placed upside down to be the correct way up when the bottle is placed on a bar optic. One of Jim Murray's favourites, with 95 points in the Whisky Bible 2013.
"Oxford Rye Whisky 002
2017 Harvest";None;None;['94.95'];['135.64'];None;The second batch of rye whisky from Oxford Artisan Distillery, made with a diverse maslin grain harvest in 2017, where different grains were grown together in the same field, including ancient heritage rye, wheat and oat grains. Matured in a combination of virgin American oak and ex-port casks, it offers aromas of aniseed, violets, banana, praline and toffee apples that fill the nose, complemented by notes of butterscotch, strawberry jam, caramelised bananas, raisins, walnuts, honey and ginger cake throughout the palate.
World of Whisky;None;None;[];None;None;Dispel the mysteries of the whisky world with this authoritative book from David Wishart, Neil Ridley and Gavin D Smith. From the history of this great spirit, to the traditional production methods and the flavours, World of Whisky demystifies whiskies from all around the world.
"THY Danish Whisky Distillery Edition Sample
Cask #61+62";None;None;['19.25'];['64.17'];None;A Perfect Measure sample bottle of THY Distillery Edition Danish whisky.
"Windsor Canadian Whisky
Litre";None;['1'];['39.95'];None;None;Windsor is a long running Canadian whisky brand often exported to the USA. Easy drinking, as demonstrated by its old Mountie laden advertising campaigns - The smooth Canadian.
"Silkie Irish Whiskey
(46%)";None;['2'];['30.95'];['44.21'];None;"Carefully crafted to honour the beautiful Donegal coastline and the magical creatures said to reside there, Silkie blended Irish whiskey aims to be just as beguiling as the Silkies themselves, with its soft mouth feel and its rich and warming flavour.

Tasting Notes (1)"
RI1 Rye Whisky;None;None;['64.95'];['86.60'];None;(ri)¹, pronounced 'rye one' is a light, sweet rye whiskey from the folks behind Jim Beam. Atypical and great for cocktails.
Black Irish Whiskey with Stout;None;None;['32.25'];['46.07'];None;A mixture of Irish whiskey and stout, this pre-made Black Irish is a balanced mix of coffee, dark chocolate, cinnamon, nutmeg and orange zest notes.
"Mekhong Thai Whiskey
Bot.1970s";None;None;['99.95'];['133.27'];None;
"Suntory Excellence Whisky
Bot.1970s";None;None;[];[];FREE UK Mainl;
"Knob Creek Whisky Show Package
2 Tickets";None;None;[];['321.43'];Knob Creek Wh;"A brilliant bundle including a bottle of Knob Creek Kentucky Straight Bourbon, a pair of tumblers, a Knob Creek water jug and a pair of tickets for Whisky Show 2021 on Sunday 3 October 2021.


Created to represent whiskey before it was mass produced, Knob Creek embodies the look, feel and taste of pre-prohibition bourbon. This is a long-aged, high-rye bourbon from Jim Beam.


Please note


This product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below without price. Please be aware that there are no extra free items with these bundles."
"Knob Creek Whisky Show Package
1 Ticket";None;None;[];['185.71'];Knob Creek Wh;"A brilliant bundle including a bottle of Knob Creek Kentucky Straight Bourbon, a pair of tumblers, a Knob Creek water jug and a ticket for Whisky Show 2021 on Sunday 3 October 2021.


Created to represent whiskey before it was mass produced, Knob Creek embodies the look, feel and taste of pre-prohibition bourbon. This is a long-aged, high-rye bourbon from Jim Beam.


Please note


This product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below without price. Please be aware that there are no extra free items with these bundles."
"Johnnie Walker Whisky - ""Cricket 1820s""
Framed 36cm x 49cm";None;None;[];None;FREE UK Mainl;
"Peat Brown Whisky Club Decanter 1.05L
LSA";None;None;[];None;FREE UK Mainl;A peat-brown Whisky club decanter, made by LSA, perfect for adding a stylish accent to your home bar or for storing your favourite dram.
Norfolk Quince Whisky Liqueur;None;None;['20.75'];['41.50'];None;A combination of English whisky and ripe quince, this sweet, fruity liqueur from The English Whisky Company offers a balance between malty, spicy whisky and tart, juicy fruit. Try drinking over ice, or mixed with ginger beer and a sprig of mint.
Reservoir Wheat Whiskey;None;None;['98.95'];['141.36'];None;Made with 100% wheat mash, this expression from Reservoir is soft and sweet, with gentle floral notes. The nose has a rich port aroma and notes of caramel and oak. The palate holds notes of rose petals and sweet caramel, with a velvet-smooth texture.
"Canadian Club Whisky
Distilled 1968 Bot.1970s";None;None;[];[];FREE UK Mainl;
"Canadian Club Whisky
Distilled 1968 Bot.1970s";None;None;[];[];FREE UK Mainl;
Auld Alliance Whisky Armagnac Blend;None;None;[];['321.43'];FREE UK Mainl;
Libbey Embassy Whiskey Sour Glass;None;None;['3.45'];None;None;This practical yet elegant glass will make your Whisky Sour taste that much better.
"Royal Welsh Whisky
Bot.~1900";None;None;[];['666.67'];FREE UK Mainl;Produced by The Welsh Whisky Distillery Company more than one hundred years ago, it is one of only a handful of bottles known to exist from this lost distillery in Wales, there is one also displayed at Penderyn Distillery. A real piece of history and a true collector's item. Part of the cork has broken off but most of the original seal is still intact.
"Putachieside Liquer Whisky
Bot.1970s";4;['1'];[];[];FREE UK Mainl;
Sacred English Whisky Liqueur;None;None;['37.45'];['53.50'];None;Try this on ice for Sacred's take on an Old Fashioned. This liqueur is made by blending three-year-old bourbon-aged English whisky with orange peels, star anise and cubeb.
Slane Irish Whiskey;None;['19'];['26.75'];['38.21'];None;Slane is a blended Irish whiskey aged in a combination of virgin-oak, refill-American-whiskey and oloroso-sherry casks. The result is an elegant and spicy dram with notes of caramel, dried fruit, caramel and butterscotch.
"Kennaway's Scotch Whisky
""The Spirit of the Age"" Poster 61x48cm";None;None;[];None;FREE UK Mainl;
Nomad Outland Whisky Miniature;None;None;['4.75'];['9.50'];None;A miniature of Nomad – a unique whisky. A collaboration between sherry producer González Byass and Whyte & Mackay master blender Richard Paterson. A blended Scotch whisky aged for more than five years in sherry butts is shipped to Jerez for further year's ageing in PX casks.
Koval Millet Whiskey;4;['1'];['51.25'];['102.50'];None;A 100% millet whisky from Koval, Chicago's first distillery since Prohibition. Producing using locally sourced grain, this is aged in new Minnesotan oak and bottled from a single barrel.
"Chesky Cherry Whisky
Fremy Fils Bot.1940s";None;None;[];['333.33'];FREE UK Mainl;A very old bottling of French whisky liqueur from Fremy Fils. Made with cherry and whisky (and therefore named Chesky), we estimate this bottle dates from the 1940s.
"Caledonian Scotch Whisky Decanter
Empty";None;None;[];None;FREE UK Mainl;
101 Legendary Whiskies;None;None;['14.99'];None;None;...You're Dying to Try But (Possibly) Never Will. The third instalment in Ian Buxton's '101 Whiskies' series. A journey through whiskies which have great stories, some common, some less so, all legendary.
Auld Alliance Whisky Armagnac Blend;None;['2'];[];['321.43'];FREE UK Mainl;A very interesting release from William Grant & Sons. Auld Alliance has been produced to commemorate the many years of exchange between Scotland and France (commonly known as the Auld Alliance). The drink of the same name is actually a marriage of Highland whisky and Armagnac from Gascony, in south west of France.
Bell's Blended Whisky;None;None;['29.95'];['15.85'];None;
"Paddy Irish Whiskey
Bot.1960s";None;['1'];[];[];FREE UK Mainl;An old bottle of Paddy Irish Whisky (with no E). We estimate that this was bottled sometime in the 1960s.
"Zuidam Honey Whisky Liqueur
Half Litre";None;None;['31.75'];['63.50'];None;A honey whisky liqueur from multi-purpose Dutch distillers Zuidam. Made by Fred van Zuidam and his son Patrick, as with all their products. A blend of malt whisky and natural honey.
William Shakespeare Whisky Liqueur;None;['3'];['24.95'];['49.90'];None;William Shakespeare Whisky Liqueur is based on a 16th-century recipe and combines whisky with crushed oranges and caramel. The bottle is reminiscent of the era and includes a copy of Shakespeare's last will and testament wrapped around it.
"Beer Hunter, Whisky Chaser
In Honour of Michael Jackson";None;None;['12.99'];None;None;A collection of writings on whisky and beer published to honour the memory of Michael Jackson. With contributions from the most respected experts in both fields and all profits going to the Parkinson's Disease Society, there's just no excuse not to buy it.
Fee Brothers Whiskey Barrel-Aged Bitters;None;None;['21.95'];['14.63'];None;An aromatic bitters from Fee Brothers, produced in small batches and aged in freshly emptied whiskey barrels for a complex and woody flavour.
Nikka Coffey Grain Whisky;None;['51'];['54.95'];['78.50'];None;"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.

Tasting Notes (2)"
Nikka Coffey Malt Whisky;None;['39'];['58.45'];['83.50'];None;"Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.

Tasting Notes (1)"
1920s' Professional Blender's Whisky Glass;None;['7'];['24.95'];None;None;A modern recreation of a style of glass used by blenders in the 1920s, developed in partnership with whisky writer Angus MacRaild. The onion shape helps to concentrate the aromas and flavours, leading to a greater sensory experience. This will hold up to 225ml.
